movieId,actorId,character
2467,294276,
2474,1824687,
2474,781361,
2474,2727220,
2474,1059690,
2474,2725710,
2483,516974,
2483,169088,
2483,358164,
2483,792727,
2483,822801,
2483,583645,The Sergeants Boy
2491,898366,
2514,803705,Lieutenant von Mühlen
2514,252476,
2514,9324389,Lola lindanserska
2514,634865,
2525,328760,Burglar
2525,198549,Member of Dans gang
2525,282367,Bushman
2540,91386,
2540,159779,
2540,381005,
2540,699637,Cecil Brown
2555,638929,Vér Tóni színész
2555,862278,Gál Sándor ügyvéd
2555,91058,Schrõder Gusztáv gazdag magánzó
2555,2365973,István
2556,414716,Servant
2556,82349,
2556,91386,
2556,159779,
2556,227602,Oscar Borch
2559,282348,
2572,917744,Hardner
2572,664342,Willi von Warden
2572,16799,
2588,449136,
2588,37124,Zigomar
2588,1979952,Nick Carter
2588,508592,Paulin Broquet
2588,346808,
2590,82178,Architekt Ernstein
2590,16799,
2590,917744,
2591,509573,
2594,33732,Monaro Jack stockman
2594,377987,Colonel Delmont
2594,661995,Eric Delmont
2594,445274,Captain Frank Hollis
2594,898366,Gidgee Dan
2594,57491,Snowy boundary rider
2594,912686,Ah Lum cook
2595,82178,
2595,783027,
2605,764346,John Bruce
2605,165134,Prince Umballah The Hindu
2605,139356,Ramabai
2605,571186,Col. Hare
2625,679170,
2625,140054,
2625,243918,
2625,482894,
2628,60168,Dr. Hallers
2628,361518,Arnoldy
2637,110838,Henry Canby
2637,778996,Lt. Denton
2637,174720,Capt. Hodgman
2637,138272,Col. Bonham
2637,86816,Dr. Fenlon
2642,499674,Beloff
2642,159780,Jens Larsen fisherman
2642,5235064,Mikkel
2646,299761,Dr. Friedrich Kammacher
2646,491498,Dr. Schmidt
2648,239982,Smirnoff
2648,596218,Ole Brandis junger Maler
2648,477996,Coppilander Antiquitätenhändler
2648,917467,
2648,16799,Dr. Petersen Kunstgelehrter
2649,366585,Aviator
2649,642621,
2649,680399,Evans
2669,533102,Undetermined Leading Role
2669,249400,Abraham Lincoln
2669,454870,Jack Lamar - the Confederate Brother
2670,862751,Gen. Joseph Johnston
2670,408429,Frank Carey
2670,238338,Tom Winston
2670,428013,Capt. Cook
2670,806960,Gen. Ulysses S. Grant
2676,3844136,
2678,505354,Ben Bolt
2678,292407,Rolling Stone
2678,642190,John Lee
2678,122697,
2679,135421,Cassio
2679,723236,
2685,252476,
2685,526234,Lander
2685,803705,Daniel Barkner
2725,337033,
2727,375839,
2727,669895,
2727,234670,
2735,746008,
2735,37124,
2739,352120,
2739,746342,
2743,69354,
2743,282725,
2743,303023,
2743,535118,
2746,743885,Edward Checkers Campbell
2746,716415,Push Miller
2767,642189,Edmond DantesCount of Monte Cristo
2767,534259,Danglars
2771,558236,
2772,392059,Bob Darrell
2772,420292,Jim Jepson
2772,871374,Doc Burns
2772,394182,John Horton
2772,780061,The Worm
2785,299674,
2785,1979952,
2785,746008,
2798,299674,
2798,1979952,
2798,746008,
2801,226387,Luc Ogier
2801,188632,Santher
2801,216535,
2801,405680,
